,school,cwur,shanghai,times
1207,AsiaUniversityTaiwan,,,601-800
1208,AnsUniversityofEconomicsandBusiness,,,601-800
1209,AucklandUniversityofTechnology,,,601-800
1210,AustralUniversityofChile,,,601-800
1211,BelarusianStateUniversity,,,601-800
1212,BirlaInstituteofTechnologyandSciencePilani,,,601-800
1213,CaliforniaStateUniversityLongBeach,,,601-800
1214,UniversityofCergyPontoise,,,601-800
1215,ChinaUniversityofPetroleum(Beijing),,,601-800
1216,CoventryUniversity,,,601-800
1217,UniversityofDhaka,,,601-800
1218,DublinInstituteofTechnology,,,601-800
1219,ErciyesUniversity,,,601-800
1220,FederalUniversityofParaná(UFPR),,,601-800
1221,FederalUniversityofViçosa,,,601-800
1222,FederalUniversityofLavras,,,601-800
1223,GdańskUniversityofTechnology,,,601-800
1224,UniversityofGhana,,,601-800
1225,GlasgowCaledonianUniversity,,,601-800
1226,UniversityofGreenwich,,,601-800
1227,UniversityofHuddersfield,,,601-800
1228,UniversityofIbadan,,,601-800
1229,UniversityofIndonesia,,,601-800
1230,IShouUniversity,,,601-800
1231,UniversityofJordan,,,601-800
1232,JordanUniversityofScienceandTechnology,,,601-800
1233,K.N.ToosiUniversityofTechnology,,,601-800
1234,KhonKaenUniversity,,,601-800
1235,KingMongkut’sUniversityofTechnologyThonburi,,,601-800
1236,KingstonUniversity,,,601-800
1237,KinkiUniversity,,,601-800
1238,KyushuInstituteofTechnology,,,601-800
1239,UniversityofLatvia,,,601-800
1240,Lille1UniversityScienceandTechnology,,,601-800
1241,UniversityofLincoln,,,601-800
1242,UniversityofMarrakechCadiAyyad,,,601-800
1243,MiddlesexUniversity,,,601-800
1244,UniversityofNairobi,,,601-800
1245,NationalChengchiUniversity,,,601-800
1246,NationalTaipeiUniversityofTechnology,,,601-800
1247,NationalUniversityofScienceandTechnology(MISiS),,,601-800
1248,NationalUniversityofSciencesandTechnology,,,601-800
1249,NorthumbriaUniversity,,,601-800
1250,NottinghamTrentUniversity,,,601-800
1251,UniversityofPardubice,,,601-800
1252,UniversityofParisNorthParis13,,,601-800
1253,ParisSorbonneUniversityParis4,,,601-800
1254,PontificalCatholicUniversityofParaná,,,601-800
1255,PontificalCatholicUniversityofRioGrandedoSul(PUCRS),,,601-800
1256,PontificalCatholicUniversityofValparaíso,,,601-800
1257,PrinceofSongklaUniversity,,,601-800
1258,QatarUniversity,,,601-800
1259,RiodeJaneiroStateUniversity(UERJ),,,601-800
1260,UniversityofSalford,,,601-800
1261,UniversityofSantiagoChile(USACH),,,601-800
1262,SãoPauloStateUniversity(UNESP),,,601-800
1263,SavitribaiPhulePuneUniversity,,,601-800
1264,ShahidBeheshtiUniversity,,,601-800
1265,ShantouUniversity,,,601-800
1266,SheffieldHallamUniversity,,,601-800
1267,UniversityofSilesiaKatowice,,,601-800
1268,SlovakUniversityofTechnologyBratislava,,,601-800
1269,SophiaUniversity,,,601-800
1270,UniversityofSouthAfrica,,,601-800
1271,SournFederalUniversity,,,601-800
1272,UniversityofSournQueensland,,,601-800
1273,SuezCanalUniversity,,,601-800
1274,SultanQaboosUniversity,,,601-800
1275,SuranareeUniversityofTechnology,,,601-800
1276,TarasShevchenkoNationalUniversityofKyiv,,,601-800
1277,TokushimaUniversity,,,601-800
1278,TokyoUniversityofMarineScienceandTechnology,,,601-800
1279,TomskStateUniversity,,,601-800
1280,ToyohashiUniversityofTechnology,,,601-800
1281,UniversitiKebangsaanMalaysia,,,601-800
1282,UniversitiPutraMalaysia,,,601-800
1283,UniversitiSainsMalaysia,,,601-800
1284,UniversitiTeknologiMARA,,,601-800
1285,UralFederalUniversity,,,601-800
1286,V.N.KarazinKharkivNationalUniversity,,,601-800
1287,UniversityofWestBohemia,,,601-800
1288,UniversityofWestofEngland,,,601-800
1289,WestUniversityofTimişoara,,,601-800
1290,UniversityofWestminster,,,601-800
1291,YıldızTechnicalUniversity,,,601-800
